ch1_zc,ch1_ssc,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_zc,ch2_ssc,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_zc,ch3_ssc,ch3_mav,ch3_wl,ch3_rms,ch3_var,label
77,172,5.86e-4,0.133736,7.160000000000001e-4,1e-6,54,139,9.220000000000001e-4,0.148337,0.001142,1e-6,49,174,6.77e-4,0.142367,8.05e-4,1e-6,0
23,109,0.002928,0.237891,0.003585,1.3000000000000001e-5,24,63,0.006697,0.600057,0.008561,7.3e-5,32,76,0.007203,0.7048260000000001,0.009159,8.4e-5,4
34,131,0.0015970000000000001,0.185343,0.001918,4e-6,50,148,9.85e-4,0.138784,0.0012109999999999998,1e-6,55,165,0.001144,0.183135,0.001424,2e-6,0
75,183,5.56e-4,0.14541600000000002,6.74e-4,0,65,165,6.730000000000001e-4,0.13493,9.019999999999999e-4,1e-6,78,174,5.6e-4,0.133578,6.99e-4,0,0
33,92,0.0017519999999999999,0.175109,0.002066,4e-6,53,165,0.001186,0.15399000000000002,0.001588,3e-6,46,169,9.119999999999999e-4,0.136165,0.001193,1e-6,0
35,160,0.001251,0.160064,0.0016010000000000002,3e-6,34,116,0.003517,0.228803,0.005187,2.7000000000000002e-5,30,132,0.0016460000000000001,0.178954,0.002025,4e-6,0
30,111,0.003127,0.26811,0.004036,1.6e-5,26,70,0.008454999999999999,0.71426,0.010312,1.06e-4,28,73,0.009034,0.772145,0.011321,1.28e-4,9
86,179,5.44e-4,0.125374,6.84e-4,0,72,164,6.519999999999999e-4,0.13716199999999998,8.8e-4,1e-6,69,179,6.44e-4,0.126648,7.87e-4,1e-6,0
16,87,0.007988,0.521123,0.010111,1.02e-4,26,57,0.031982,2.915778,0.041839,0.00175,21,62,0.023867,1.550074,0.030633999999999998,9.369999999999999e-4,4
30,104,0.00463,0.410483,0.006265,3.9e-5,31,81,0.005577,0.564278,0.006883,4.7e-5,28,105,0.003795,0.354604,0.004753,2.3e-5,5
21,122,0.0030960000000000002,0.226623,0.0037200000000000002,1.4000000000000001e-5,29,79,0.004304,0.369741,0.005985,3.6e-5,23,72,0.006556,0.499338,0.00863,7.4e-5,4
24,74,0.006396,0.49381,0.008014,6.4e-5,36,90,0.005503,0.611066,0.006825,4.7e-5,27,69,0.018254,1.551644,0.023078,5.32e-4,7
27,91,0.003725,0.318143,0.004874,2.4e-5,33,83,0.00572,0.5352779999999999,0.007201999999999999,5.2000000000000004e-5,20,78,0.008458,0.633458,0.010043,1.01e-4,9
64,172,6.360000000000001e-4,0.131129,7.92e-4,1e-6,40,150,8.640000000000001e-4,0.144599,0.0010400000000000001,1e-6,126,185,3.48e-4,0.13475,4.4699999999999997e-4,0,0
71,196,5.28e-4,0.124895,6.41e-4,0,81,179,5.21e-4,0.122896,6.71e-4,0,72,177,6.04e-4,0.145709,7.17e-4,1e-6,0
23,100,0.0036880000000000003,0.30744699999999997,0.0047810000000000005,2.3e-5,21,75,0.006489,0.47693800000000003,0.007964,6.3e-5,29,107,0.0034659999999999995,0.31609499999999996,0.004636,2.1e-5,3
79,178,4.46e-4,0.109874,5.73e-4,0,53,149,0.001075,0.17211500000000002,0.001283,2e-6,73,184,6.03e-4,0.142206,7.79e-4,1e-6,0
42,117,0.001834,0.233444,0.002235,5e-6,30,94,0.003851,0.358792,0.005012,2.5e-5,25,95,0.0074670000000000005,0.606492,0.009826,9.7e-5,8
37,117,0.0023239999999999997,0.252675,0.002817,8e-6,28,69,0.007712,0.737015,0.009828,9.7e-5,31,84,0.007193000000000001,0.600288,0.009382,8.8e-5,9
62,182,7.93e-4,0.138996,0.001074,1e-6,38,124,0.001358,0.173241,0.001582,3e-6,82,175,5.32e-4,0.134379,6.63e-4,0,0
23,98,0.003092,0.268631,0.003932,1.4999999999999999e-5,27,96,0.005102000000000001,0.502366,0.006559000000000001,4.3e-5,27,67,0.012468,1.0636450000000002,0.015563999999999998,2.42e-4,9
26,107,0.0036200000000000004,0.310109,0.0047799999999999995,2.3e-5,21,140,0.002716,0.228346,0.0035549999999999996,1.3000000000000001e-5,26,122,0.0036149999999999997,0.33214699999999997,0.004448,2e-5,8
36,116,0.002905,0.26524200000000003,0.003825,1.4999999999999999e-5,29,81,0.003954999999999999,0.35756,0.004897,2.4e-5,30,104,0.004292,0.416465,0.005188,2.7000000000000002e-5,9
35,138,0.0014759999999999999,0.18225999999999998,0.001759,3e-6,44,148,0.001051,0.14146199999999998,0.001265,2e-6,48,158,0.001219,0.181687,0.001515,2e-6,0
34,128,0.00196,0.217,0.0024289999999999997,6e-6,24,122,0.002585,0.236551,0.0032840000000000005,1.1e-5,28,79,0.005422,0.492568,0.006743000000000001,4.5e-5,8
98,185,4.63e-4,0.138004,5.809999999999999e-4,0,64,173,6.34e-4,0.13526300000000002,7.81e-4,1e-6,131,183,2.97e-4,0.11706199999999999,3.7e-4,0,0
27,107,0.002333,0.25355900000000003,0.0029809999999999997,9e-6,24,100,0.0032329999999999998,0.278174,0.004051,1.6e-5,28,66,0.007051999999999999,0.588896,0.008944,8e-5,3
33,114,0.003532,0.352534,0.004468,2e-5,23,62,0.009788,0.726333,0.011539,1.33e-4,35,96,0.004453,0.433913,0.0057399999999999994,3.3e-5,6
81,177,5.4e-4,0.13431500000000002,6.83e-4,0,89,176,4.25e-4,0.12168399999999999,5.47e-4,0,109,185,3.6e-4,0.12209500000000001,4.4800000000000005e-4,0,0
23,109,0.002502,0.21035399999999999,0.0030510000000000003,9e-6,28,65,0.009022,0.685991,0.011686,1.36e-4,27,135,0.0038060000000000004,0.302332,0.004881,2.4e-5,5
18,45,0.057354999999999996,3.49531,0.090495,0.008189,21,59,0.069297,3.617442,0.11587,0.013425999999999999,16,58,0.051630999999999996,3.7594529999999997,0.064734,0.004188,1
22,101,0.003639,0.319037,0.00458,2.1e-5,26,87,0.005303,0.48523999999999995,0.006396,4.1e-5,24,80,0.007520000000000001,0.645702,0.00907,8.2e-5,3
51,133,0.001353,0.20791199999999999,0.0017010000000000003,3e-6,25,132,0.0027719999999999997,0.220815,0.0035299999999999997,1.2e-5,31,93,0.004045,0.373268,0.005576,3.1e-5,6
60,171,6.7e-4,0.142977,8.02e-4,1e-6,50,158,7.58e-4,0.12873800000000002,9.89e-4,1e-6,137,183,3.34e-4,0.133417,4.1600000000000003e-4,0,0
86,172,5.84e-4,0.143907,7.36e-4,1e-6,69,180,5.73e-4,0.124269,7.68e-4,1e-6,55,153,8.699999999999999e-4,0.147263,0.001115,1e-6,0
27,96,0.003396,0.26511799999999996,0.004147,1.7e-5,26,126,0.0027300000000000002,0.25866100000000003,0.0041600000000000005,1.7e-5,17,107,0.007106,0.441367,0.01029,1.06e-4,4
28,117,0.002573,0.25609,0.003199,1e-5,27,96,0.006794,0.6558350000000001,0.008583,7.4e-5,26,77,0.009564,0.8520909999999999,0.011902,1.4199999999999998e-4,9
34,104,0.003333,0.347524,0.0042380000000000004,1.8e-5,30,80,0.009424,0.762113,0.012171,1.48e-4,23,68,0.014313999999999999,1.056833,0.017518000000000002,3.07e-4,4
101,201,3.01e-4,0.101453,3.8700000000000003e-4,0,91,182,4.14e-4,0.11408900000000001,5.19e-4,0,68,177,5.73e-4,0.133621,7.030000000000001e-4,0,0
25,90,0.003922999999999999,0.33153299999999997,0.004659,2.2e-5,26,101,0.00519,0.412691,0.006609,4.4e-5,23,71,0.010754000000000001,0.876074,0.013092,1.71e-4,4
93,181,3.43e-4,0.098718,4.2699999999999997e-4,0,43,145,0.001038,0.14819000000000002,0.001325,2e-6,85,167,4.6100000000000004e-4,0.12313699999999998,5.690000000000001e-4,0,0
59,122,0.004848,0.475768,0.008785,7.7e-5,47,95,0.01659,1.2221090000000001,0.026389999999999997,6.96e-4,54,119,0.006345,0.581348,0.010098000000000001,1.02e-4,0
29,107,0.0038090000000000003,0.33510500000000004,0.004808,2.3e-5,28,97,0.006058,0.570112,0.007273000000000001,5.3e-5,22,71,0.007888,0.6447930000000001,0.009932999999999999,9.9e-5,4
30,100,0.002704,0.245011,0.003403,1.2e-5,22,98,0.004146,0.32740199999999997,0.005442,2.9999999999999997e-5,39,130,0.002402,0.272052,0.003041,9e-6,8
24,79,0.008548,0.515436,0.013125,1.72e-4,30,55,0.01241,0.913125,0.017508000000000003,3.06e-4,27,90,0.006234,0.5441819999999999,0.007958,6.3e-5,3
37,131,0.001697,0.195964,0.0021850000000000003,5e-6,31,91,0.004753,0.43095,0.006209,3.9e-5,19,86,0.007606,0.537878,0.010077,1.01e-4,5
25,99,0.007018000000000001,0.51862,0.009551,9.1e-5,29,80,0.009788,0.866497,0.012655,1.6e-4,22,83,0.014695,1.052074,0.018149000000000002,3.2900000000000003e-4,4
129,191,2.61e-4,0.100994,3.28e-4,0,103,180,4.0199999999999996e-4,0.130659,4.940000000000001e-4,0,115,198,3.65e-4,0.13561099999999998,4.5099999999999996e-4,0,0
31,94,0.01404,0.8204670000000001,0.021172,4.4800000000000005e-4,27,85,0.020184999999999998,1.352416,0.029861000000000002,8.89e-4,29,78,0.017800999999999997,1.617551,0.026086,6.799999999999999e-4,0
44,146,0.001233,0.166122,0.001539,2e-6,36,114,0.001741,0.19420199999999999,0.002136,5e-6,47,152,0.001254,0.17858800000000002,0.001557,2e-6,0
24,55,0.011722,0.802087,0.015016,2.25e-4,31,54,0.025736000000000002,2.257625,0.033155000000000004,0.001099,23,70,0.020838,1.813973,0.025216,6.28e-4,9
29,124,0.002269,0.259265,0.003025,9e-6,28,82,0.008511,0.775928,0.011018,1.21e-4,32,82,0.006886,0.6379630000000001,0.008809,7.8e-5,9
28,68,0.009678,0.8444309999999999,0.012597,1.5900000000000002e-4,26,70,0.008187,0.773594,0.009942,9.9e-5,21,63,0.011779000000000001,0.907327,0.014533,2.1099999999999998e-4,0
21,128,0.002523,0.23861100000000002,0.003218,1e-5,46,131,0.001626,0.20647800000000002,0.0020859999999999997,4e-6,27,115,0.0025239999999999998,0.27436900000000003,0.003159,1e-5,6
21,108,0.002955,0.273793,0.004039,1.6e-5,32,58,0.008032,0.78403,0.009757,9.499999999999999e-5,24,94,0.005057,0.441695,0.006437999999999999,4.1e-5,2
75,182,6.27e-4,0.1392,8.560000000000001e-4,1e-6,84,190,4.6399999999999995e-4,0.116599,6.03e-4,0,87,164,5.44e-4,0.13743,6.69e-4,0,0
23,74,0.004393,0.321856,0.005312,2.8000000000000003e-5,19,82,0.0077280000000000005,0.5279,0.010555,1.1100000000000001e-4,27,106,0.005051,0.392997,0.006948,4.8e-5,8
57,177,8.19e-4,0.147032,0.001042,1e-6,110,194,3.99e-4,0.131915,4.87e-4,0,113,185,4.6699999999999997e-4,0.137775,6.17e-4,0,0
26,80,0.0044329999999999994,0.383442,0.00518,2.7000000000000002e-5,18,78,0.0070810000000000005,0.530195,0.008834,7.8e-5,31,91,0.004058,0.39073599999999997,0.0050869999999999995,2.6000000000000002e-5,2
24,100,0.002757,0.26848299999999997,0.0034159999999999998,1.2e-5,37,93,0.002651,0.303523,0.003365,1.1e-5,33,70,0.006229,0.661139,0.007620999999999999,5.7999999999999994e-5,3
69,183,5.57e-4,0.129329,6.929999999999999e-4,0,82,184,4.969999999999999e-4,0.121848,6.15e-4,0,81,192,5.16e-4,0.137194,6.349999999999999e-4,0,0
24,86,0.006633,0.423558,0.009008,8.1e-5,29,56,0.008643999999999999,0.780396,0.010201,1.0400000000000001e-4,28,101,0.004313,0.400334,0.0054659999999999995,2.9999999999999997e-5,5
53,140,0.001836,0.172448,0.003039,9e-6,55,156,0.001076,0.16556400000000002,0.001399,2e-6,33,130,0.002607,0.25246799999999997,0.003261,1.1e-5,0
27,114,0.002977,0.29367,0.0038299999999999996,1.4999999999999999e-5,24,61,0.0077150000000000005,0.680615,0.009468,8.9e-5,32,89,0.006055,0.573383,0.008,6.4e-5,2
36,127,0.001835,0.209779,0.002391,6e-6,27,116,0.003244,0.28632399999999997,0.0044020000000000005,1.9e-5,25,93,0.004151,0.329658,0.004768,2.3e-5,2
74,169,6.48e-4,0.134743,8.05e-4,1e-6,64,175,6.360000000000001e-4,0.135741,7.830000000000001e-4,1e-6,86,173,5.66e-4,0.139721,7.059999999999999e-4,0,0
86,185,3.02e-4,0.090407,3.71e-4,0,57,156,6.66e-4,0.125855,8.089999999999999e-4,1e-6,95,163,3.84e-4,0.114174,4.7300000000000006e-4,0,0
52,174,9.09e-4,0.14441099999999998,0.001145,1e-6,64,177,6.18e-4,0.127059,7.740000000000001e-4,1e-6,126,196,3.08e-4,0.12736199999999998,3.8700000000000003e-4,0,0
74,167,4.55e-4,0.101365,5.769999999999999e-4,0,74,164,4.91e-4,0.12031800000000001,6.11e-4,0,59,154,7.68e-4,0.139442,9.710000000000001e-4,1e-6,0
